Data Medicao;TEMPERATURA MAXIMA. DIARIA(°C)
01/01/1980;22.4
02/01/1980;24
03/01/1980;24.8
04/01/1980;28.5
05/01/1980;27.5
06/01/1980;28
07/01/1980;25.8
08/01/1980;24.4
09/01/1980;25.6
10/01/1980;22.8
11/01/1980;25.6
12/01/1980;21.2
13/01/1980;19.8
14/01/1980;26.5
15/01/1980;23.6
16/01/1980;22.6
17/01/1980;24.2
18/01/1980;25.9
19/01/1980;27.5
20/01/1980;25.5
21/01/1980;28.2
22/01/1980;28.4
23/01/1980;25.2
24/01/1980;26.7
25/01/1980;27.8
26/01/1980;26.6
27/01/1980;27.8
28/01/1980;26.6
29/01/1980;25
30/01/1980;26.6
31/01/1980;27.2
01/02/1980;24.6
02/02/1980;23
03/02/1980;25
04/02/1980;27.4
05/02/1980;25.6
06/02/1980;28.1
07/02/1980;24.8
08/02/1980;26.8
09/02/1980;26
10/02/1980;26.2
11/02/1980;25.8
12/02/1980;27.4
13/02/1980;20.5
14/02/1980;20
15/02/1980;17.6
16/02/1980;17.5
17/02/1980;20.8
18/02/1980;19.5
19/02/1980;26.2
20/02/1980;27
21/02/1980;27.5
22/02/1980;24.5
23/02/1980;28
24/02/1980;27.5
25/02/1980;26.4
26/02/1980;26.4
27/02/1980;25
28/02/1980;26.5
29/02/1980;26.5
01/03/1980;26.2
02/03/1980;26.2
03/03/1980;26.8
04/03/1980;24.2
05/03/1980;26.2
06/03/1980;27.2
07/03/1980;27.2
08/03/1980;26.4
09/03/1980;29
10/03/1980;28.9
11/03/1980;27.6
12/03/1980;29.5
13/03/1980;29.5
14/03/1980;26.6
15/03/1980;26
16/03/1980;26.5
17/03/1980;27.8
18/03/1980;27.4
19/03/1980;26.8
20/03/1980;26.9
21/03/1980;27.6
22/03/1980;27.2
23/03/1980;28
24/03/1980;28.4
25/03/1980;28
26/03/1980;28.2
27/03/1980;29
28/03/1980;28.5
29/03/1980;27.8
30/03/1980;28.5
31/03/1980;28.4
01/04/1980;27.6
02/04/1980;24.6
03/04/1980;25.8
04/04/1980;25.4
05/04/1980;26.5
06/04/1980;25.6
07/04/1980;26.4
08/04/1980;25.6
09/04/1980;25.5
10/04/1980;26.7
11/04/1980;26.1
12/04/1980;28
13/04/1980;28
14/04/1980;26
15/04/1980;25.8
16/04/1980;28.4
17/04/1980;27.2
18/04/1980;25.9
19/04/1980;25.5
20/04/1980;25.5
21/04/1980;26.6
22/04/1980;25.7
23/04/1980;26.8
24/04/1980;25.7
25/04/1980;25.6
26/04/1980;25.6
27/04/1980;25.6
28/04/1980;25.5
29/04/1980;25.7
30/04/1980;27.1
01/05/1980;27.8
02/05/1980;24
03/05/1980;26
04/05/1980;21.6
05/05/1980;27.2
06/05/1980;28
07/05/1980;26.6
08/05/1980;26.2
09/05/1980;26.5
10/05/1980;27.5
11/05/1980;28
12/05/1980;26.2
13/05/1980;24.2
14/05/1980;23.6
15/05/1980;25.5
16/05/1980;25.5
17/05/1980;26.5
18/05/1980;25.5
19/05/1980;27.8
20/05/1980;28
21/05/1980;27.5
22/05/1980;27
23/05/1980;26.5
24/05/1980;25.5
25/05/1980;26
26/05/1980;24.1
27/05/1980;25.4
28/05/1980;24.4
29/05/1980;25.6
30/05/1980;24.8
31/05/1980;25.8
01/06/1980;26
02/06/1980;27.4
03/06/1980;27
04/06/1980;25.4
05/06/1980;26
06/06/1980;25.4
07/06/1980;24.8
08/06/1980;23.5
09/06/1980;23.8
10/06/1980;24.7
11/06/1980;25.8
12/06/1980;25.6
13/06/1980;26.6
14/06/1980;25.5
15/06/1980;25.8
16/06/1980;25.3
17/06/1980;25.4
18/06/1980;23.2
19/06/1980;18.6
20/06/1980;25.5
21/06/1980;25.5
22/06/1980;24.5
23/06/1980;26.2
24/06/1980;26.5
25/06/1980;27.8
26/06/1980;27.7
27/06/1980;24.8
28/06/1980;24.5
29/06/1980;22.6
30/06/1980;22.8
01/07/1980;24.8
02/07/1980;24
03/07/1980;25.6
04/07/1980;25.6
05/07/1980;25.2
06/07/1980;24
07/07/1980;23.8
08/07/1980;24.8
09/07/1980;24.5
10/07/1980;24.5
11/07/1980;25.2
12/07/1980;26.5
13/07/1980;26.8
14/07/1980;27.8
15/07/1980;29
16/07/1980;27.7
17/07/1980;26.2
18/07/1980;26.3
19/07/1980;27.2
20/07/1980;28.2
21/07/1980;27.6
22/07/1980;28.6
23/07/1980;28.6
24/07/1980;27.2
25/07/1980;25.4
26/07/1980;25.2
27/07/1980;27.5
28/07/1980;26.8
29/07/1980;27.6
30/07/1980;29
31/07/1980;27.5
01/08/1980;26.7
02/08/1980;25.1
03/08/1980;23.7
04/08/1980;24.7
